token	quantity
#Merkelmussweg	26
#Merkel	11
#merkelmussweg	7
schon	6
ja	5
Frau	5
BÃ¼rger	4
Fast	4
Viertel	4
@gagaberlin	4
https://t.co/rjeNddwPbz	4
unterschrieben	4
treten	4
Mio	4
Sie	4
https	4
í¸†	4
UND	3
Ã„TTER	3
SPIEGEL	3
Die	3
#DeutschlanddenDeutschen	3
Keine	3
Merkel	3
@DerSPIEGEL	3
Es	3
LÃœGENPRESSE	3
#csu	3
BILD	3
mehr	3
